Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Archaeolist,/,1279,842,1.5190023752969122,407.89429928741094,3344,0,0
All Archaeological Sites | Archaeolist,/sites,250,90,2.7777777777777777,1260.8444444444444,417,0,0
Yeha | Ethiopia | Archaeolist,/sites/ethiopia/yeha,93,80,1.1625,5.8,289,0,0
Israel Archaeological Sites | Archaeolist,/sites/israel,87,22,3.9545454545454546,144,147,0,0
UNESCO World Heritage Archaeological Sites | Archaeolist,/sites/unesco,85,30,2.8333333333333335,84.53333333333333,120,0,0
Spain Archaeological Sites | Archaeolist,/sites/spain,70,43,1.627906976744186,28.976744186046513,165,0,0
Iran Archaeological Sites | Archaeolist,/sites/iran,67,35,1.9142857142857144,146.62857142857143,160,0,0
Egypt Archaeological Sites | Archaeolist,/sites/egypt,58,34,1.7058823529411764,28.058823529411764,135,0,0
Germany Archaeological Sites | Archaeolist,/sites/germany,50,27,1.8518518518518519,51.55555555555556,118,0,0
India Archaeological Sites | Archaeolist,/sites/india,49,31,1.5806451612903225,22.806451612903224,122,0,0
Turkey Archaeological Sites | Archaeolist,/sites/turkey,49,27,1.8148148148148149,17.14814814814815,117,0,0
Ukraine Archaeological Sites | Archaeolist,/sites/ukraine,49,26,1.8846153846153846,14.884615384615385,106,0,0
China Archaeological Sites | Archaeolist,/sites/china,48,24,2,19.75,115,0,0
South Africa Archaeological Sites | Archaeolist,/sites/south-africa,47,29,1.6206896551724137,40.93103448275862,121,0,0
Kenya Archaeological Sites | Archaeolist,/sites/kenya,46,24,1.9166666666666667,41.208333333333336,118,0,0
Portugal Archaeological Sites | Archaeolist,/sites/portugal,42,22,1.9090909090909092,18.5,91,0,0
United States Archaeological Sites | Archaeolist,/sites/united-states,42,31,1.3548387096774193,19.032258064516128,124,0,0
Santimamiñe | Spain | Archaeolist,/sites/spain/santimamine,40,26,1.5384615384615385,270.3076923076923,77,0,0
Bulgaria Archaeological Sites | Archaeolist,/sites/bulgaria,37,27,1.3703703703703705,29.59259259259259,100,0,0
Afghanistan Archaeological Sites | Archaeolist,/sites/afghanistan,36,18,2,35.05555555555556,81,0,0
Canada Archaeological Sites | Archaeolist,/sites/canada,35,17,2.0588235294117645,33.76470588235294,86,0,0
Nicaragua Archaeological Sites | Archaeolist,/sites/nicaragua,33,10,3.3,21.6,93,0,0
Belize Archaeological Sites | Archaeolist,/sites/belize,31,13,2.3846153846153846,31,77,0,0
Bolivia Archaeological Sites | Archaeolist,/sites/bolivia,31,26,1.1923076923076923,29.03846153846154,103,0,0
Sweden Archaeological Sites | Archaeolist,/sites/sweden,31,12,2.5833333333333335,59.333333333333336,61,0,0
